epoch,train_loss,train_acc,val_loss,val_acc,alpha,epoch_time_s,peak_gpu_gib
168,0.087939,0.977241,0.148376,0.954805,6.014276,142.745,11.249
169,0.079647,0.980545,0.145228,0.956140,6.015284,142.567,11.249
170,0.084663,0.978526,0.146976,0.955759,6.016696,142.635,11.249
171,0.081267,0.980545,0.145593,0.957475,6.018593,142.745,11.249
172,0.078789,0.981738,0.141279,0.958047,6.018476,142.665,11.249
173,0.078326,0.981279,0.141601,0.958619,6.019903,142.446,11.249
174,0.081973,0.979994,0.144530,0.958810,6.021111,142.444,11.249
175,0.074843,0.981738,0.145178,0.956903,6.021820,142.500,11.249
176,0.074977,0.981830,0.146244,0.956140,6.022036,142.743,11.249
177,0.077095,0.982656,0.143880,0.958238,6.022506,142.592,11.249
178,0.075249,0.983206,0.143009,0.957094,6.023242,142.554,11.249
179,0.077848,0.981922,0.145894,0.957094,6.023801,142.722,11.249
180,0.078304,0.980637,0.143280,0.956903,6.024389,142.547,11.249
181,0.077971,0.981922,0.143784,0.957666,6.024629,142.649,11.249
182,0.077462,0.981187,0.142981,0.956903,6.025267,142.584,11.249
183,0.078305,0.982013,0.143797,0.958047,6.026010,142.613,11.249
184,0.072635,0.983482,0.142097,0.957857,6.026578,142.630,11.249
185,0.074574,0.980820,0.142574,0.957666,6.026620,142.559,11.249
186,0.079059,0.981555,0.142907,0.956140,6.026878,142.580,11.249
187,0.075419,0.981279,0.142941,0.957094,6.026937,142.647,11.249
188,0.075592,0.981463,0.141991,0.957857,6.027208,142.656,11.249
189,0.073146,0.982380,0.142244,0.957094,6.027226,142.724,11.249
190,0.078039,0.982289,0.142113,0.958429,6.027307,142.692,11.249
191,0.072725,0.982748,0.140698,0.958619,6.027348,142.582,11.249
192,0.075492,0.980820,0.141643,0.958619,6.027357,142.742,11.249
193,0.068776,0.985042,0.141218,0.959001,6.027400,142.634,11.249
194,0.069643,0.984766,0.141742,0.958619,6.027421,142.776,11.249
195,0.073398,0.981738,0.141371,0.958429,6.027453,142.657,11.249
196,0.074076,0.982564,0.140746,0.959382,6.027557,142.569,11.249
197,0.074760,0.983849,0.141431,0.958429,6.027609,142.796,11.249
198,0.072386,0.982472,0.142022,0.959191,6.027637,142.637,11.249
199,0.070020,0.986143,0.140894,0.959573,6.027671,142.636,11.249
200,0.071149,0.984216,0.141668,0.959001,6.027684,142.806,11.249
