section,feature_or_bin,target_or_metric,value,ci_lo,ci_hi,n,note
bin_ci_viseme,bilabial_bpm,delta_AV_minus_A,0.030888,0.012870,0.048906,777,A=0.9421 AV=0.9730 excl0=yes
bin_ci_viseme,glottal_h,delta_AV_minus_A,0.024845,-0.006211,0.062112,161,A=0.9565 AV=0.9814 excl0=no
bin_ci_viseme,labiodental_fv,delta_AV_minus_A,0.030928,0.008247,0.053608,485,A=0.9320 AV=0.9629 excl0=yes
bin_ci_viseme,labiovelar_w,delta_AV_minus_A,0.043243,0.010811,0.081081,185,A=0.9459 AV=0.9892 excl0=yes
bin_ci_viseme,lingual,delta_AV_minus_A,0.026672,0.016622,0.037109,2587,A=0.9177 AV=0.9443 excl0=yes
bin_ci_viseme,other,delta_AV_minus_A,0.044586,0.015924,0.076433,314,A=0.9204 AV=0.9650 excl0=yes
bin_ci_viseme,vowel_initial,delta_AV_minus_A,0.029932,0.010884,0.049014,735,A=0.9320 AV=0.9619 excl0=yes
bin_ci_syllable,1,delta_AV_minus_A,0.026984,0.016270,0.037698,2520,A=0.9198 AV=0.9468 excl0=yes
bin_ci_syllable,2,delta_AV_minus_A,0.035569,0.023882,0.047256,1968,A=0.9263 AV=0.9619 excl0=yes
bin_ci_syllable,3,delta_AV_minus_A,0.026521,0.009360,0.045242,641,A=0.9454 AV=0.9719 excl0=yes
bin_ci_syllable,4+,delta_AV_minus_A,0.008696,0.000000,0.026087,115,A=0.9913 AV=1.0000 excl0=no
bin_ci_length,Long (8+),delta_AV_minus_A,0.023810,0.006614,0.041005,756,A=0.9365 AV=0.9603 excl0=yes
bin_ci_length,Medium (5-7),delta_AV_minus_A,0.036201,0.026405,0.046422,2348,A=0.9344 AV=0.9706 excl0=yes
bin_ci_length,Short (<=4),delta_AV_minus_A,0.024766,0.013084,0.036916,2140,A=0.9154 AV=0.9402 excl0=yes
bin_ci_vowel,/aɪ/,delta_AV_minus_A,0.030686,0.007220,0.055957,554,A=0.9025 AV=0.9332 excl0=yes
bin_ci_vowel,/eɪ/,delta_AV_minus_A,0.018307,-0.006865,0.045767,437,A=0.9336 AV=0.9519 excl0=no
bin_ci_vowel,/iː/,delta_AV_minus_A,0.027100,-0.002710,0.056911,369,A=0.9051 AV=0.9322 excl0=no
bin_ci_vowel,/æ/,delta_AV_minus_A,0.013283,-0.007590,0.036053,527,A=0.9431 AV=0.9564 excl0=no
bin_ci_vowel,/ɔː/,delta_AV_minus_A,0.038835,0.012136,0.065534,412,A=0.9248 AV=0.9636 excl0=yes
bin_ci_vowel,/ʌ/,delta_AV_minus_A,0.036145,0.012048,0.060241,415,A=0.9301 AV=0.9663 excl0=yes
