epoch,train_loss,train_acc,val_loss,val_acc,val_acc_audio_head,val_acc_video_head,w_a_mean,wa_anoisy_mean,wa_anoisy_std,wa_clean_mean,wa_clean_std,wa_vnoisy_mean,wa_vnoisy_std,epoch_time_s,peak_gpu_gib
97,1.101232,0.925484,0.316919,0.906560,0.793860,0.721587,0.404865,0.407125,0.108330,0.432829,0.100661,0.478763,0.108936,153.635,12.454
98,1.070679,0.929522,0.280034,0.915332,0.790999,0.741800,0.444983,0.468219,0.114684,0.483153,0.107968,0.539141,0.119355,154.717,12.454
99,1.087224,0.922915,0.253649,0.926583,0.721396,0.793860,0.436384,0.412367,0.108085,0.453263,0.134112,0.472546,0.119081,153.227,12.454
100,1.091006,0.923649,0.233768,0.934020,0.774790,0.773646,0.424130,0.436482,0.111082,0.452717,0.111823,0.484067,0.109056,155.505,12.454
101,1.053326,0.924842,0.235202,0.934211,0.795767,0.779939,0.442642,0.397813,0.114512,0.448901,0.133359,0.459001,0.133342,153.790,12.454
102,1.054811,0.927411,0.221560,0.931732,0.806445,0.774981,0.451781,0.429388,0.112482,0.469192,0.104709,0.503290,0.108845,154.575,12.454
103,1.024601,0.933193,0.293614,0.915141,0.809878,0.743326,0.419694,0.385225,0.111205,0.436651,0.102337,0.470568,0.107662,153.641,12.454
104,1.012570,0.929981,0.236489,0.932876,0.690122,0.821129,0.370166,0.323935,0.106772,0.373131,0.103858,0.383536,0.103538,153.646,12.454
105,1.012807,0.928696,0.241942,0.931159,0.728261,0.810069,0.417041,0.420842,0.096425,0.425787,0.095135,0.469046,0.102843,155.010,12.454
106,1.002406,0.932642,0.198357,0.942029,0.793097,0.812929,0.420707,0.426268,0.105412,0.436533,0.110075,0.450093,0.107159,153.231,12.454
107,1.006430,0.927411,0.204118,0.939931,0.813310,0.795957,0.442715,0.423136,0.098819,0.452364,0.087202,0.471441,0.089287,153.831,12.454
108,0.991782,0.931449,0.313191,0.911518,0.828185,0.732647,0.448608,0.428056,0.138830,0.469287,0.173379,0.489238,0.167414,155.514,12.454
109,0.984757,0.930531,0.212377,0.938215,0.825515,0.794432,0.458866,0.422285,0.118852,0.467590,0.123779,0.491019,0.117293,154.081,12.454
110,0.952318,0.936955,0.201417,0.942792,0.814645,0.814645,0.417466,0.418179,0.112617,0.436671,0.114281,0.453847,0.110784,153.244,12.454
